Title: A Swift look at SN 2011fe: The Earliest Ultraviolet Observations of a 
       Type Ia Supernova  
Authors: Brown P.J., Dawson K.S., de Pasquale M., Gronwall C., Holland S., 
         Immler S., Kuin P., Mazzali P., Milne P., Oates S., Siegel M. 
Table: SN2011fe UVOT Magnitudes, Count Rates and Fluxes
================================================================================
Byte-by-byte Description of file: apj431440t1_mrt.txt
-------------------------------------------------------------------------------
   Bytes Format Units   Label   Explanations
--------------------------------------------------------------------------------
   1-  4 A4     ---     Filter  Filter used in observation
   6- 15 F10.4  d       MJD     Modified Julian Date of observation  
  17- 21 F5.2   mag     mag     ? Observed magnitude in Filter
  23- 26 F4.2   mag   e_mag     ? Uncertainty in mag  
  28- 32 F5.2   mag     Upper   The 3{sigma} upper limit  
  34- 39 F6.2   ct/s    CRate   Count rate  
  41- 45 F5.2   ct/s  e_CRate   Uncertainty in CRate 
  47- 54 E8.2   mW/m2   Flux    Observed flux; erg/s/cm^2^   
  56- 63 E8.2   mW/m2 e_Flux    Uncertainty in Flux; erg/s/cm^2^
--------------------------------------------------------------------------------
uvw2 55797.9285            18.80   0.10  0.06 6.03e-13 3.59e-13 
uvw2 55797.9954            18.80   0.14  0.07 7.92e-13 3.65e-13 
uvw2 55799.0045 17.53 0.16 18.42   0.87  0.13 5.15e-12 7.58e-13 
uvw2 55799.1339 17.59 0.15 18.56   0.82  0.11 4.90e-12 6.67e-13 
uvw2 55799.2115 17.46 0.14 18.50   0.93  0.12 5.43e-12 6.97e-13 
uvw2 55799.4016 17.42 0.14 18.48   0.96  0.12 5.83e-12 7.34e-13 
uvw2 55799.5407 17.29 0.12 18.51   1.09  0.12 6.42e-12 6.94e-13 
uvw2 55800.0696 16.84 0.09 18.33   1.64  0.14 9.67e-12 8.24e-13 
uvw2 55800.2071 16.67 0.10 18.08   1.93  0.18 1.14e-11 1.04e-12 
uvw2 55800.3419 16.67 0.09 18.18   1.92  0.16 1.13e-11 9.31e-13 
uvw2 55800.6152 16.45 0.07 18.24   2.35  0.15 1.37e-11 8.79e-13 
uvw2 55800.7380 16.34 0.07 18.07   2.61  0.18 1.53e-11 1.03e-12 
